lender_id, country_code, inviter_id, invitee_count, loan_count
0, None, -1, None, None
1, FR, -1, 0, 255
2, JP, 742, 0, 128
3, , -1, 0, 12
4, US, -1, 0, 249
5, , -1, 0, 1
6, , -1, 0, 1
7, US, -1, 2, 7
8, , -1, 0, 5
9, , -1, 0, 12
10, HK, -1, 0, 36
11, CA, -1, 1, 2
12, US, -1, 1, 23
13, , -1, 0, 2
14, US, -1, 1, 50
15, CA, -1, 0, 5
16, , -1, 0, 1
17, , -1, 0, 19
18, , -1, 1, 32
19, US, -1, 0, 7
20, , -1, 0, 109
21, US, -1, 6, 952
22, US, -1, 0, 9
23, , -1, 3, 92775
24, US, -1, 0, 154
25, US, -1, 0, 28
26, , 2309, 0, 1
27, US, -1, 2, 6
28, US, -1, 4, 4860
29, AU, -1, 0, 10
30, US, -1, 1, 382
31, , -1, 0, 42
32, , -1, 0, 2
33, US, -1, 0, 3
34, AU, -1, 0, 23
35, , -1, 0, 1
36, CA, -1, 0, 22
37, US, -1, 5, 78
38, CA, -1, 1, 148
39, , -1, 0, 11
40, , -1, 0, 6
41, CA, -1, 1, 120
42, AU, -1, 0, 96
43, , -1, 0, 1
44, US, -1, 1, 37
45, AU, -1, 0, 18
46, , -1, 0, 1
47, , 2308, 0, 1
48, , -1, 0, 4
49, US, -1, 0, 3
50, US, -1, 2, 232
51, , -1, 1, 5
52, AU, -1, 2, 30
53, US, -1, 0, 15
54, , -1, 0, 5
55, US, -1, 4, 118
56, US, -1, 0, 250
57, US, -1, 1, 1962
58, US, -1, 0, 4
59, , -1, 0, 2
60, US, -1, 11, 100
61, US, -1, 0, 253
62, , -1, 0, 1
63, US, -1, 0, 74
64, US, -1, 2, 284
65, US, -1, 1, 25
66, , 1287, 0, 1
67, GU, -1, 0, 11
68, , -1, 0, 1
69, US, -1, 1, 30
70, , -1, 0, 1
71, , -1, 0, 1
72, US, -1, 0, 42
73, , -1, 0, 13
74, US, -1, 0, 4
75, CA, -1, 0, 32
76, , 184, 0, 1
77, , -1, 1, 4
78, , -1, 2, 3
79, AU, -1, 1, 17
80, US, -1, 0, 6
81, US, -1, 0, 19
82, , -1, 0, 52
83, , -1, 0, 5
84, US, -1, 0, 17
85, US, -1, 0, 3
86, AU, -1, 0, 70
87, US, -1, 0, 3
88, DE, -1, 1, 229
89, CA, -1, 1, 84
90, CA, -1, 0, 26
91, US, -1, 0, 321
92, , -1, 7, 6
93, , -1, 0, 27
94, AU, -1, 163, 227
95, CA, -1, 0, 3009
96, , -1, 0, 4
97, US, 162, 0, 1
98, AU, -1, 0, 24
99, , -1, 0, 12
100, AU, -1, 1, 5
101, , -1, 0, 13
102, NO, -1, 2, 77
103, AU, -1, 0, 36
104, US, -1, 3, 1107
105, CA, -1, 0, 30
106, , -1, 0, 7
107, , -1, 0, 1
108, CA, -1, 0, 2
109, JP, -1, 0, 99
110, AU, 1330, 2, 3
111, US, -1, 1, 20
112, US, -1, 0, 99
113, US, -1, 1, 24
114, AU, -1, 1, 581
115, US, -1, 3, 1019
116, US, -1, 1, 53
117, NL, -1, 3, 2256
118, US, -1, 0, 165
119, , -1, 0, 4
120, CA, -1, 0, 253
121, US, -1, 0, 433
122, US, -1, 0, 32
123, US, -1, 1, 1273
124, AU, -1, 0, 23
125, FI, -1, 0, 11
126, , -1, 0, 1
127, CA, -1, 2, 190
128, , -1, 0, 7
129, , -1, 2, 80
130, , -1, 0, 3
131, US, -1, 0, 2
132, , -1, 0, 27
133, RO, -1, 2, 5632
134, AU, -1, 1, 958
135, , -1, 0, 4
136, US, -1, 0, 72
137, US, -1, 0, 9
138, HK, -1, 0, 32
139, CA, -1, 0, 23
140, NZ, -1, 1, 341
141, DE, -1, 0, 141
142, , -1, 0, 19
143, DE, -1, 0, 60
144, , -1, 0, 1
145, US, -1, 1, 246
146, , -1, 0, 1
147, FR, -1, 2, 15334
148, DE, -1, 0, 14
149, , -1, 0, 2
150, GB, -1, 2, 12
151, CA, -1, 0, 7214
152, IT, -1, 15, 357
153, GB, 2630, 0, 1
154, , -1, 3, 4939
155, US, -1, 0, 58
156, AU, -1, 2, 139
157, FI, -1, 1, 12
158, , -1, 0, 416
159, CH, -1, 3, 3
160, NL, 2396, 0, 1
161, SE, -1, 1, 55
162, KH, -1, 15, 57
163, BR, -1, 0, 10
164, FI, -1, 2, 62
165, ES, -1, 2, 323
166, SE, -1, 4, 4
167, AU, -1, 4, 8
168, NL, -1, 7, 706
169, US, -1, 4, 175
170, SG, -1, 3, 29
171, SE, -1, 0, 26
172, , -1, 1, 71
173, , -1, 1, 3
174, NZ, -1, 0, 11
175, NO, -1, 5, 491
176, NL, -1, 0, 3
177, FI, -1, 12, 512
178, US, -1, 0, 3
179, ES, -1, 1, 66
180, , -1, 2, 8
181, IN, -1, 1, 27
182, SE, -1, 2, 11
183, US, -1, 0, 7
184, AU, -1, 1, 58
185, AU, -1, 0, 2
186, GB, -1, 0, 1
187, , -1, 0, 1
188, AU, -1, 1, 794
189, GB, -1, 3, 38
190, AT, -1, 0, 59
191, SI, -1, 1, 22
192, SE, -1, 0, 2
193, DE, -1, 1, 173
194, NZ, -1, 0, 9
195, AU, -1, 0, 118
196, AU, -1, 3, 32
197, DE, -1, 0, 60
198, , -1, 0, 1
199, US, -1, 0, 3
200, JP, -1, 0, 97
201, AU, -1, 7, 157
202, FI, -1, 0, 5
203, , -1, 0, 17
204, GB, -1, 7, 33
205, NL, -1, 0, 58
206, , 2399, 0, 1
207, SE, -1, 1, 6
208, AU, -1, 0, 16
209, IT, -1, 0, 9
210, , -1, 0, 44
211, SE, -1, 0, 43
212, NL, -1, 0, 256
213, AT, -1, 1, 53
214, US, -1, 0, 494
215, SE, -1, 2, 26
216, PL, -1, 0, 13
217, , -1, 0, 1
218, , -1, 0, 1
219, FI, -1, 0, 8
220, AU, -1, 0, 83
221, AU, -1, 0, 140
222, , 607, 0, 2
223, , -1, 0, 1
224, AU, -1, 0, 8
225, SE, -1, 1, 148
226, AU, -1, 1, 5724
227, US, -1, 4, 33
228, AU, -1, 0, 25
229, GB, -1, 3, 15
230, NO, -1, 4, 38
231, AU, -1, 0, 4
232, ES, -1, 0, 37
233, CA, -1, 5, 17
234, AU, -1, 0, 118
235, NL, -1, 1, 8816
236, , -1, 2, 24
237, , -1, 3, 3
238, SG, -1, 0, 8
239, , -1, 3, 36
240, DE, -1, 3, 368
241, , -1, 0, 35
242, FR, -1, 0, 10
243, DE, -1, 1, 99
244, DE, -1, 0, 142
245, IT, -1, 0, 15
246, US, -1, 2, 3
247, , -1, 5, 5
248, GB, -1, 0, 163
249, , -1, 0, 2
250, AT, -1, 0, 843
251, ES, -1, 0, 14
252, , -1, 0, 2
253, DK, -1, 1, 62
254, , -1, 0, 8
255, IE, -1, 3, 211
256, ES, -1, 0, 155
257, US, -1, 1, 228
258, , -1, 2, 3
259, DK, -1, 0, 9
260, US, -1, 0, 71
261, , -1, 0, 5
262, AU, -1, 0, 24
263, NL, -1, 2, 22
264, DE, -1, 0, 54
265, GB, -1, 0, 108
266, PT, -1, 1, 25
267, SE, -1, 3, 721
268, AU, -1, 3, 28
269, CA, -1, 0, 534
270, AU, -1, 2, 207
271, , -1, 0, 1
272, SE, -1, 3, 157
273, GB, -1, 0, 4
274, , -1, 0, 1
275, US, -1, 0, 4
276, , -1, 0, 4
277, AU, 8964, 3, 228
278, AU, -1, 1, 224
279, , 505, 0, 59
280, NO, -1, 1, 51
281, , -1, 0, 2
282, SE, -1, 1, 306
283, US, -1, 0, 411
284, FI, -1, 0, 6
285, US, -1, 0, 9
286, , -1, 0, 1
287, NO, -1, 0, 7
288, AU, -1, 1, 9
289, US, -1, 2, 3833
290, DE, -1, 1, 11
291, US, -1, 0, 364
292, US, -1, 0, 12
293, NL, -1, 0, 6
294, BE, -1, 1, 337
295, US, -1, 0, 183
296, , -1, 1, 2
297, QA, -1, 2, 21
298, NL, -1, 0, 2
299, DE, -1, 1, 65
300, US, -1, 0, 27
301, US, -1, 1, 75
302, NL, -1, 0, 120
303, AU, -1, 0, 87
304, FR, -1, 0, 6563
305, , -1, 0, 116
306, , -1, 2, 3165
307, ES, -1, 0, 221
308, US, -1, 3, 176
309, US, -1, 1, 25
310, GB, -1, 4, 35
311, AU, -1, 0, 14
312, US, -1, 1, 84
313, BE, -1, 3, 27
314, AU, -1, 3, 11
315, GB, -1, 2, 1
316, PT, -1, 0, 3
317, GB, -1, 0, 23
318, AU, -1, 0, 1
319, , -1, 0, 25
320, AU, -1, 0, 31
321, NO, -1, 0, 16
322, CA, -1, 7, 2004
323, SE, -1, 0, 165
324, NO, -1, 2, 60
325, NO, -1, 0, 63
326, DE, -1, 1, 83
327, SE, -1, 0, 45
328, CA, -1, 0, 130
329, US, -1, 2, 113
330, DE, -1, 4, 207
331, NO, -1, 11, 3566
332, FI, -1, 2, 44
333, GB, -1, 1, 111
334, , -1, 0, 6
335, FR, -1, 0, 26
336, GB, -1, 0, 3
337, IT, -1, 1, 421
338, LK, -1, 2, 96
339, , -1, 0, 2
340, NO, -1, 0, 43
341, US, -1, 11, 7185
342, , -1, 0, 182
343, , -1, 0, 2
344, US, -1, 1, 31
345, , -1, 2, 4
346, , -1, 0, 5
347, DE, -1, 0, 414
348, GB, -1, 0, 1
349, US, -1, 19, 83
350, GB, -1, 0, 297
351, US, -1, 0, 37
352, US, -1, 0, 128
353, GB, -1, 1, 2
354, US, -1, 0, 78
355, , -1, 3, 12
356, US, -1, 7, 35
357, , 2662, 0, 1
358, GB, -1, 4, 416
359, CA, -1, 0, 122
360, US, -1, 0, 27
361, , -1, 1, 12
362, US, -1, 0, 280
363, US, -1, 0, 8
364, CA, -1, 1, 50
365, CA, -1, 0, 869
366, CA, -1, 0, 21
367, US, -1, 0, 35
368, BR, -1, 0, 138
369, US, -1, 1, 83
370, US, -1, 6, 243
371, NL, -1, 0, 216
372, , -1, 0, 1
373, , -1, 0, 5
374, DE, -1, 0, 64
375, , -1, 0, 29
376, US, -1, 0, 1115
377, , -1, 1, 2
378, MY, -1, 0, 149
379, , -1, 1, 1
380, US, 9000, 0, 6
381, NO, -1, 1, 40
382, , -1, 1, 20
383, DE, -1, 3, 1781
384, US, -1, 0, 132
385, , -1, 0, 5
386, , -1, 0, 8
387, , 1283, 0, 1
388, , -1, 0, 1
389, DE, -1, 0, 7
390, US, -1, 2, 39
391, , 3503, 0, 1
392, DE, -1, 0, 15
393, US, -1, 1, 4274
394, US, -1, 0, 102
395, , -1, 0, 2
396, AU, -1, 5, 2553
397, US, -1, 5, 80
398, FI, -1, 0, 58
399, AU, -1, 5, 25
400, US, -1, 0, 161
401, US, -1, 0, 767
402, IT, -1, 0, 20
403, , -1, 0, 2
404, US, -1, 3, 19
405, GB, -1, 0, 14
406, US, -1, 0, 1389
407, US, -1, 2, 8
408, GB, -1, 0, 3963
409, IE, -1, 1, 185
410, , -1, 0, 258
411, US, -1, 1, 572
412, US, -1, 1, 74
413, GB, -1, 0, 12
414, US, -1, 2, 4
415, NO, -1, 0, 65
416, US, -1, 2, 20
417, US, -1, 1, 18
418, US, -1, 6, 665
419, US, -1, 0, 9
420, US, -1, 16, 48
421, IT, -1, 0, 133
422, US, -1, 13, 6
423, US, -1, 2, 68
424, , -1, 0, 1
425, PT, -1, 1, 670
426, US, -1, 0, 4
427, , -1, 4, 5
428, MC, -1, 0, 20
429, GB, -1, 0, 20
430, US, -1, 0, 16
431, GB, -1, 1, 161
432, NO, -1, 1, 52
433, AU, -1, 0, 540
434, DE, -1, 0, 7
435, US, -1, 1, 156
436, , -1, 0, 13
437, US, -1, 3, 1153
438, US, -1, 0, 12
439, JP, -1, 0, 20
440, NO, -1, 8, 562
441, , -1, 0, 32
442, DE, -1, 0, 78
443, HK, -1, 0, 399
444, , -1, 0, 1
445, DE, -1, 0, 12
446, , -1, 1, 3
447, US, -1, 0, 11
448, US, -1, 0, 7
449, , -1, 1, 2
450, US, -1, 0, 175
451, US, -1, 13, 44
452, US, -1, 5, 78
453, US, -1, 1, 211
454, US, -1, 1, 12
455, LT, -1, 3, 1198
456, CA, -1, 0, 161
457, FI, -1, 0, 93
458, US, -1, 17, 270
459, , -1, 1, 17
460, US, -1, 0, 86
461, , -1, 0, 1
462, , -1, 0, 10
463, US, -1, 0, 4
464, CU, -1, 2, 22
465, US, -1, 3, 4
466, SE, -1, 0, 6
467, US, -1, 0, 27
468, NL, -1, 2, 25
469, , -1, 0, 6
470, , -1, 11, 240
471, , -1, 0, 3
472, , 2944, 0, 2
473, US, -1, 21, 91
474, US, -1, 0, 9
475, , -1, 0, 4
476, CA, 9426, 2, 11
477, , -1, 0, 1
478, , -1, 1, 14
479, , -1, 0, 4
480, CA, -1, 3, 199
481, , 2944, 0, 1
