loan_id, sector, amount, borrowers, country, geo
0, Health, 800, 1, PS, 31.92157 35.203285
1, Education, 425, 1, CO, 4 -72
2, Education, 250, 1, KE, 1 38
3, Agriculture, 4900, 1, UA, 49 32
4, Agriculture, 1200, 1, EC, -2 -77.5
5, Agriculture, 1100, 6, VN, 16.166667 107.833333
6, Housing, 1300, 1, KH, 13 105
7, Education, 2325, 1, JO, 31 36
8, Services, 5625, 10, PE, -10 -76
9, Retail, 1075, 1, EC, -2 -77.5
10, Retail, 1600, 1, EC, -2 -77.5
11, Retail, 500, 1, PH, 13 122
12, Retail, 3525, 3, TZ, -6.8 39.283333
13, Retail, 775, 1, MX, 23 -102
14, Food, 5100, 40, SN, 14 -14
15, Retail, 4050, 7, PE, -11.851111 -76.39055
16, Retail, 5775, 8, PE, -11.851111 -76.39055
17, Retail, 4875, 23, BI, -3.5 30
18, Clothing, 2925, 32, BI, -3.5 30
19, Agriculture, 2800, 10, UG, 2 33
20, Clothing, 3850, 15, TZ, -6.8 39.283333
21, Agriculture, 1800, 9, ID, -5 120
22, Retail, 1050, 1, ML, 11.996041 -7.913563
23, Food, 2175, 10, UG, 2 33
24, Retail, 3725, 10, BO, -16.5 -68.15
25, Retail, 1050, 1, SL, 8.883333 -12.05
26, Food, 1800, 4, GH, 8 -2
27, Transportation, 225, 1, PH, 13 122
28, Clothing, 2100, 5, GH, 8 -2
29, Services, 825, 1, ID, -5 120
30, Services, 1325, 1, ID, -5 120
31, Services, 1150, 2, GT, 15.5 -90.25
32, Retail, 1275, 2, GT, 15.5 -90.25
33, Food, 1425, 4, GH, 8 -2
34, Food, 2125, 5, ML, 11.316667 -5.666667
35, Retail, 2450, 1, UA, 48.516667 35.866667
36, Agriculture, 2475, 5, HN, 15 -86.5
37, Food, 3925, 8, EC, -2 -77.5
38, Clothing, 1550, 1, CO, 4 -72
39, Manufacturing, 325, 1, PH, 13 122
40, Education, 500, 1, SO, 6 48
41, Clothing, 1900, 1, PK, 30 70
42, Education, 625, 1, JO, 31 36
43, Housing, 450, 1, KH, 13 105
44, Agriculture, 1200, 1, EC, -2 -77.5
45, Education, 525, 1, SO, 6 48
46, Health, 1125, 1, PH, 13 122
47, Agriculture, 275, 1, UG, 2 33
48, Agriculture, 2725, 1, AM, 40 45
49, Agriculture, 2475, 1, AM, 40 45
50, Agriculture, 3000, 1, AM, 40 45
51, Agriculture, 2475, 1, AM, 40 45
52, Retail, 1000, 1, AM, 40 45
53, Education, 1050, 1, JO, 31 36
54, Food, 2975, 3, TZ, -6.8 39.283333
55, Personal Use, 1000, 1, AM, 40 45
56, Agriculture, 2500, 1, AM, 40 45
57, Agriculture, 450, 1, PH, 13 122
58, Services, 1000, 1, SV, 13.833333 -88.916667
59, Food, 3000, 1, TJ, 40.283333 70.416667
60, Transportation, 1250, 1, GE, 42 43.5
61, Retail, 1500, 1, GE, 42 43.5
62, Education, 5025, 1, DO, 19.45 -70.7
