lender_id, loan_id
6698, 514
2980, 343
2963, 1819
393, 453
9001, 3807
4241, 2406
9643, 166
13099, 966
244, 183
5604, 2816
7616, 2816
1179, 224
15401, 1519
13352, 3594
10392, 4246
9813, 3803
3011, 899
311, 7
11257, 1167
6031, 85
5133, 2748
23, 3242
5936, 3551
3227, 1949
11426, 1504
8440, 265
5996, 529
11945, 1177
2042, 62
15603, 1225
1313, 886
8473, 3707
5364, 1005
2108, 615
6133, 956
4483, 2438
9477, 2573
1495, 563
2109, 1354
5096, 1230
612, 563
1040, 909
10054, 937
12868, 966
12429, 4257
4386, 353
2908, 103
11909, 1505
15784, 4869
5483, 2536
9777, 3173
2522, 405
6371, 2448
2206, 248
5835, 3456
13904, 2395
23, 1650
13083, 4085
1225, 1086
9561, 4122
5248, 197
393, 1659
5592, 3031
10385, 2319
6052, 2897
9660, 4101
3990, 528
15528, 2467
14263, 4640
3435, 85
10462, 3086
10851, 4287
6296, 3210
13148, 4025
11356, 631
12268, 1441
3561, 2112
4, 13
172, 296
6218, 552
13847, 1519
5444, 2966
11479, 3952
5460, 2928
2738, 925
3880, 735
3802, 592
9978, 2254
6009, 2997
3759, 663
11678, 4309
13901, 3781
8405, 3235
6622, 2753
12179, 2956
4520, 249
3048, 728
23, 1307
14026, 3813
2327, 338
9611, 4078
3070, 280
7426, 1674
2738, 1729
10095, 2823
6475, 1977
8941, 903
11968, 225
9367, 4004
10245, 615
567, 8
6229, 2929
393, 2604
13902, 2380
5382, 352
8924, 625
1287, 788
4514, 2433
15332, 1407
6612, 504
11713, 2350
6675, 2790
14056, 4676
11713, 2003
3544, 23
3100, 1861
3681, 203
3120, 62
10474, 342
5307, 2864
2738, 1728
9067, 1069
2021, 279
8863, 1686
4247, 279
7844, 3365
13868, 4526
5982, 1983
10368, 3265
6713, 920
118, 233
12566, 2444
10064, 2650
813, 302
2202, 1435
13011, 4026
10694, 477
15186, 4809
1, 1774
7528, 2582
23, 2519
5726, 2609
4441, 2432
6832, 2253
1320, 737
5069, 657
4894, 1972
5796, 2980
9028, 3945
6568, 319
5355, 2672
14417, 2363
6533, 924
4075, 2357
11470, 851
2987, 1603
10214, 4004
14072, 37
8640, 1350
1785, 856
4343, 175
10561, 3946
9106, 1942
4883, 892
15114, 4316
13322, 3336
3865, 1912
2044, 150
7309, 417
14412, 1100
